Canna-libs		Canna-library
GConf2			GConf
ImageMagick-c\+\+	ImageMagick-Magick\+\+
MagicPoint		magicpoint
apr			httpd-apr
compat-gcc-32		gcc3.2
compat-gcc-c\+\+-32	gcc3.2-c\+\+
compat-libstdc\+\+-32	libstdc\+\+3.2
compat-libstdc\+\+-devel	libstdc\+\+3.2-devel
evolution		sylpheed
fedora-logos		momonga-logos
fedora-release		momonga-release
fonts-ISO8859-2-100dpi	xorg-x11-ISO8859-2-100dpi-fonts
fonts-ISO8859-2-75dpi	xorg-x11-ISO8859-2-75dpi
fonts-KOI8-R-100dpi	XFree86-KOI8-R-100dpi-fonts
fonts-KOI8-R		XFree86-KOI8-R-75dpi-fonts
fonts-ja		japanese-fonts
fonts-xorg-100dpi	xorg-x11-100dpi-fonts
fonts-xorg-75dpi	xorg-x11-75dpi-fonts
fonts-xorg-ISO8859-9-100dpi  xorg-x11-ISO8859-9-100dpi-fonts
fonts-xorg-ISO8859-9-75dpi   xorg-x11-ISO8859-9-75dpi-fonts
fonts-xorg-cyrillic	     xorg-x11-cyrillic-fonts
freetype		     freetype2
freeglut		     glut
glade2			     glade
glib2			     glib
gnome-vfs2		     gnome-vfs
gtk2-engines		     gtk-engines
gtk2			     gtk\+
gtkhtml3		     gtkhtml
iiimf-docs		     iiimf-doc
iiimf-le-canna		     iiimf-canna
iiimf-server		     iiimf
iiimf-x			     iiimf-xiiimp
kon2			     jfbterm
lesstif			     openmotif
libattr			     attr
libgal2			     gal
libgtop2		     libgtop
librsvg2		     librsvg
memtest86\+		     memtest86
mysql			     MySQL
pygtk2			     pygtk
sendmail		     postfix
skkdic			     skk-jisyo
spamassassin		     SpamAssassin
switchdesk		     sdr
ttfonts-ja		     truetype-fonts-ja
ttfonts-ko		     truetype-fonts-ko
ttfonts-zh_CN		     truetype-fonts-zh_CN
ttfonts-zh_TW		     truetype-fonts-zh_TW
up2date			     mph
xemacs-sumo-el		     xemacs-sumo
